no,originalSMILES,finalSMILES,expVDss(L/kg),predVDss(L/kg),expCL(mL/min/kg),predCL(mL/min/kg),expt1/2(h),predt1/2(h),expfu,predfu,explogVDss,predlogVDss,explogCL,predlogCL,explogt1/2,predlogt1/2,explogfu,predlogfu
,O[C@@H]2[C@H](O)C[C@@H](O[C@H]2C),C@H]2[C@H](O)C[C@@H](O[C@H]2C)O[C@@H],,,,,,,,,,,,,,,,
,O[C@@H]3[C@H](O)C[C@@H](O[C@H]3C),3[C@@H](O)C[C@@H](O[C@H]3C)O[C@@H]4CC,,,,,,,,,,,,,,,,
4,,,0.78,0.98,0.18,0.35,51.6,36.06,0.07,0.10,0.11,-0.01,-0.74,-0.45,1.71,1.56,-1.15,-1.02
,O[C@@H]4CC[C@]5(C)[C@@H](CC[C@H]6,[C@]5(C)[C@@H](CC[C@H]6[C@@H]5CC[C@]7(C,,,,,,,,,,,,,,,,
,[C@@H]5CC[C@]7(C)[C@H]([C@H](C[C@],)[C@H]([C@H](C[C@]67O)OC(C)=O)C8=CC(=O)O,,,,,,,,,,,,,,,,
,67O)OC(C)=O)C8=CC(=O)OC8)C4,C8)C4,,,,,,,,,,,,,,,,
5,NC1(CC1)C(O)=O,[NH3+]C1(CC1)C([O-])=O,0.73,0.50,1.5,2.02,5.9,4.52,,,0.14,-0.30,0.18,0.31,0.77,0.66,,
,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)C=,O[C@H]1C[C@@](O)(C[C@@H](OC(=O)\C=C\C2=,,,,,,,,,,,,,,,,
6,CC2=CC(=C(O)C=C2)O)[C@@H]1OC(=O)C=,CC(=C(O)C=C2)O)[C@@H]1OC(=O)\C=C/C3=CC(=,0.63,0.79,34.58,23.49,0.57,0.96,,,0.20,-0.10,1.54,1.37,-0.24,-0.02,,
,CC3=CC(=C(O)C=C3)O)C(O)=O,C(O)C=C3)O)C([O-])=O,,,,,,,,,,,,,,,,
,O[C@H]1[C@@H](C[C@@](O)(C[C@H]1OC,OC1[C@@H](CC(O)(C[C@H]1OC(=O)\C=C\C2=CC(,,,,,,,,,,,,,,,,
7,(=O)C=CC2=CC=C(O)C(=C2)O)C(O)=O)OC(=,=C(O)C=C2)O)C([O-,4.82,1.43,75.81,29.77,3.17,2.05,,,0.68,0.16,1.88,1.47,0.50,0.31,,
,O)C=CC3=CC=C(O)C(=C3)O,])=O)OC(=O)\C=C\C3=CC(=C(O)C=C3)O,,,,,,,,,,,,,,,,
,C[C@@H](N)[C@H]1CC[C@@H](N)[C@H](,C[C@@H]([NH3+])[C@H]1CC[C@@H]([NH3+])[C,,,,,,,,,,,,,,,,
8,O1)O[C@@H]2[C@@H](N)[C@@H](O)[C@,@H](O1)O[C@@H]2[C@@H]([NH3+])[C@@H](O)[,0.27,0.34,1.37,1.47,2.9,3.24,,,0.57,-0.47,0.14,0.17,0.46,0.51,,
,@H](O)[C@H]([C@H]2O)N(C)C(=O)CN,C@@H](O)[C@H]([C@H]2O)N(C)C(=O)C[NH3+],,,,,,,,,,,,,,,,
,CC(C)N(CC[C@H](C1=CC=CC=C1)C2=CC(=,CC(C)[NH+](CC[C@H](C1=CC=CC=C1)C2=C(O)C=,,,,,,,,,,,,,,,,
9,,,2.41,1.91,,,,,0.5,0.27,0.38,0.28,,,,,-0.30,-0.57
,CC=C2O)CO)C(C)C,CC(=C2)CO)C(C)C,,,,,,,,,,,,,,,,
,CCC1=NC2=C(N)N=C3C=CC=CC3=C2[N]1C,CCC1=NC2=C([N]1CCCCN[S](C)(=O)=O)C3=CC=C,,,,,,,,,,,,,,,,
10,,,3.1,2.46,7.7,5.44,7.1,3.89,,,0.49,0.39,0.89,0.74,0.85,0.59,,
,CCCN[S](C)(=O)=O,C=C3N=C2N,,,,,,,,,,,,,,,,
,NC1=NC(=C2N=C[N]([C@@H]3C[C@H](CO,NC1=NC2=C(N=C[N]2[C@@H]3C[C@H](CO)C=C3),,,,,,,,,,,,,,,,
11,,,0.84,1.06,13,9.73,1,2.06,0.5,0.47,0.08,0.02,1.11,0.99,0.00,0.31,-0.30,-0.33
,)C=C3)C2=N1)NC4CC4,C(=N1)NC4CC4,,,,,,,,,,,,,,,,
,COC1=CC2=C(CN(CC2)C3=CC(=C4C=C(OC),COC1=C(OC)C=C2CN(CCC2=C1)C3=[NH+]C4=CC(,,,,,,,,,,,,,,,,
12,,,6.3,5.01,14,10.02,5.9,5.87,,,0.80,0.70,1.15,1.00,0.77,0.77,,
,C(=CC4=N3)OC)N)C=C1OC,=C(OC)C=C4C(=C3)N)OC,,,,,,,,,,,,,,,,
,CN(C)CC1=C(OC2=CC=CC=C12)C(=O)NCC,C[NH+](C)CC1=C(OC2=C1C=CC=C2)C(=O)NCCOC,,,,,,,,,,,,,,,,
13,,,2.6,2.07,16.33,9.02,5.9,5.54,,,0.41,0.32,1.21,0.96,0.77,0.74,,
,OC3=CC=C(C=C3)C(=O)NO,3=CC=C(C=C3)C(=O)N[O-],,,,,,,,,,,,,,,,
,COC(=O)C1(CC1)OC(=O)C2=CN=C[N]2[C@,COC(=O)C1(CC1)OC(=O)C2=CN=C[N]2[C@H](C)C,,,,,,,,,,,,,,,,
14,,,,,50.08,22.60,0.24,0.73,,,,,1.70,1.35,-0.62,-0.14,,
,H](C)C3=CC=CC=C3,3=CC=CC=C3,,,,,,,,,,,,,,,,
15,CC(=O)NCCC[S](O)(=O)=O,CC(=O)NCCC[S]([O-])(=O)=O,0.3,0.38,3.75,3.52,3.2,2.48,1,0.83,0.52,-0.42,0.57,0.55,0.51,0.40,0.00,-0.08
,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[,,,,,,,,,,,,,,,,
,H](O)[C@H](O[C@@H]2CO)O[C@H]([C@H],C@H](O[C@@H]2CO)O[C@H]([C@H](O)CO)[C@H,,,,,,,,,,,,,,,,
16,(O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O),](O)[C@@H](O)C=O)[C@H](O)[C@@H](O)[C@@H,0.32,0.40,2.2,1.98,2.7,3.06,,,0.49,-0.40,0.34,0.30,0.43,0.49,,
,[C@@H](O)[C@@H]1N[C@H]3C=C(CO)[C,]1[NH2+][C@H]3C=C(CO)[C@@H](O)[C@H](O)[C,,,,,,,,,,,,,,,,
,@@H](O)[C@H](O)[C@H]3O,@H]3O,,,,,,,,,,,,,,,,
,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=,CCCC(=O)NC1=CC(=C(OC[C@@H](O)C[NH2+]C(C,,,,,,,,,,,,,,,,
17,,,1.7,2.02,10,7.84,3.5,5.13,0.74,0.53,0.23,0.31,1.00,0.89,0.54,0.71,-0.13,-0.28
,C1)C(C)=O,)C)C=C1)C(C)=O,,,,,,,,,,,,,,,,
,CCN(CC)CCNC(=O)C1=CC=C(NC(C)=O)C=C,,,,,,,,,,,,,,,,,
18,,CC[NH+](CC)CCNC(=O)C1=CC=C(NC(C)=O)C=C1,1.9,2.32,4,5.21,6.4,4.55,0.9,0.77,0.28,0.36,0.60,0.72,0.81,0.66,-0.05,-0.11
,1,,,,,,,,,,,,,,,,,
,CC(=O)C[C@H](C1=CC=C(C=C1)[N+]([O-,CC(=O)C[C@H](C1=CC=C(C=C1)[N+]([O-,,,,,,,,,,,,,,,,
19,,,0.24,0.30,1.28,0.86,7.22,6.62,0.02,0.02,0.62,-0.52,0.11,-0.07,0.86,0.82,-1.70,-1.61
,])=O)C2=C(O)C3=CC=CC=C3OC2=O,])=O)C2=C([O-])C3=C(OC2=O)C=CC=C3,,,,,,,,,,,,,,,,
20,CC(=O)NC1=CC=C(O)C=C1,CC(=O)NC1=CC=C(O)C=C1,1,0.68,5,6.39,2.5,2.45,0.52,0.56,0.00,-0.17,0.70,0.81,0.40,0.39,-0.28,-0.25
21,CC(=O)NC1=NN=C(S1)[S](N)(=O)=O,CC(=O)NC1=NN=C(S1)[S](N)(=O)=O,0.37,0.47,0.65,1.17,13,7.95,0.04,0.14,0.43,-0.33,-0.19,0.07,1.11,0.90,-1.40,-0.84
22,CC(=O)N[C@@H](CS)C(O)=O,CC(=O)N[C@@H](CS)C([O-])=O,0.55,0.69,3.1,3.02,5.5,4.49,0.17,0.29,0.26,-0.16,0.49,0.48,0.74,0.65,-0.77,-0.53
,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1,CC[C@H](OC(C)=O)C(C[C@H](C)[NH+](C)C)(C1=,,,,,,,,,,,,,,,,
23,,,8.3,4.39,5.4,6.15,18,15.26,0.2,0.14,0.92,0.64,0.73,0.79,1.26,1.18,-0.70,-0.85
,=CC=CC=C1)C2=CC=CC=C2,CC=CC=C1)C2=CC=CC=C2,,,,,,,,,,,,,,,,
24,CC(=O)OC1=CC=CC=C1C(O)=O,CC(=O)OC1=C(C=CC=C1)C([O-])=O,0.22,0.17,12,6.15,0.26,0.55,0.68,0.52,0.66,-0.78,1.08,0.79,-0.59,-0.26,-0.17,-0.28
25,N[C@@H]([C@@H]1CC(=NO1)Cl)C(O)=O,[NH3+][C@@H]([C@@H]1CC(=NO1)Cl)C([O-])=O,0.5,0.50,0.69,1.47,9.9,5.60,,,0.30,-0.31,-0.16,0.17,1.00,0.75,,
,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=C,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)C,,,,,,,,,,,,,,,,
26,,,4.3,3.42,48.5,21.09,,,,,0.63,0.53,1.69,1.32,,,,
,C=C3)CCC1CC2)(C4=CC=CS4)C5=CC=CS5,CC1CC2)(C4=CC=CS4)C5=CC=CS5,,,,,,,,,,,,,,,,
,CC(C)N(CC[C@]1([C@H]2CCCCN2C(=NC1=,CC(C)[NH+](CC[C@]1([C@H]2CCCCN2C(=NC1=O),,,,,,,,,,,,,,,,
27,,,0.58,0.73,6.79,5.49,1.89,3.05,0.7,0.34,0.24,-0.14,0.83,0.74,0.28,0.48,-0.15,-0.47
,O)C)C3=CC=CC=C3)C(C)C,C)C3=CC=CC=C3)C(C)C,,,,,,,,,,,,,,,,
28,NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,0.71,0.89,4.7,5.85,2.5,3.44,0.85,0.92,0.15,-0.05,0.67,0.77,0.40,0.54,-0.07,-0.04
,NC1=NC=NC2=C1N=C[N]2CCOC[P](O)(O)=,,,,,,,,,,,,,,,,,
29,,NC1=C2N=C[N](CCOC[P]([O-])([O-])=O)C2=NC=N1,0.42,0.37,3.7,3.24,1.6,2.29,0.96,0.86,0.38,-0.43,0.57,0.51,0.20,0.36,-0.02,-0.07
,O,,,,,,,,,,,,,,,,,
,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C4,C[NH+](C)CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C,,,,,,,,,,,,,,,,
30,,,0.98,1.23,6.2,4.60,2.1,3.79,0.31,0.13,0.01,0.09,0.79,0.66,0.32,0.58,-0.51,-0.88
,=CC(=CC=C4[N]12)Cl,(C=CC(=C4)Cl)[N]12,,,,,,,,,,,,,,,,
,CN(CC1=C(C)C2=CC=CC=C2O1)C(=O)C=CC,CN(CC1=C(C)C2=C(O1)C=CC=C2)C(=O)\C=C\C3=C,,,,,,,,,,,,,,,,
31,,,0.43,0.54,0.9,1.23,6.4,5.90,,,0.37,-0.27,-0.05,0.09,0.81,0.77,,
,3=CC4=C(NC(=O)CC4)N=C3,C4=C(NC(=O)CC4)N=C3,,,,,,,,,,,,,,,,
,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C,,,,,,,,,,,,,,,,
32,,,0.28,0.35,2.04,2.47,2.5,2.22,,,0.55,-0.45,0.31,0.39,0.40,0.35,,
,C)C)C2=C(C=CC=C2)N3CCCCC3)C(O)=O,2=C(C=CC=C2)N3CCCCC3)C([O-])=O,,,,,,,,,,,,,,,,
,CC[C@@H]1[C@@H](O)N2[C@H]3CC1C4[,CC[C@@H]1[C@@H](O)[NH+]2[C@H]3C[C@H]1[,,,,,,,,,,,,,,,,
33,C@@H](O)C5(C[C@H]24)[C@H]3N(C)C6=C,C@H]4[C@@H](O)[C@]5(C[C@@H]24)[C@H]3N(C,4,3.18,9.8,6.77,7.3,5.82,0.24,0.30,0.60,0.50,0.99,0.83,0.86,0.77,-0.62,-0.52
,5C=CC=C6,)C6=C5C=CC=C6,,,,,,,,,,,,,,,,
34,CC(C)(C)NCC(O)C1=CC=C(O)C(=C1)CO,CC(C)(C)[NH2+]C[C@H](O)C1=CC(=C(O)C=C1)CO,1.9,2.08,7.8,9.19,2.4,3.25,0.92,0.81,0.28,0.32,0.89,0.96,0.38,0.51,-0.04,-0.09
,OCC=C1C[N@@+]2(CC[C@@]34[C@@H]2C,OC\C=C1\C[N@@+]2(CC[C@@]34[C@H]2C[C@@,,,,,,,,,,,,,,,,
,[C@@H]1C5=CN6[C@H]7C(=CN([C@H]35),H]1\C5=C\N6[C@H]7\C(=C/N([C@H]35)C8=C4C=C,,,,,,,,,,,,,,,,
35,C8=CC=CC=C48)[C@H]9C[C@H]%10[C@@],C=C8)[C@@H]\9C[C@H]%10[C@@]7(CC[N@@+],0.32,0.40,1.3,1.66,3.6,5.86,,,0.49,-0.39,0.11,0.22,0.56,0.77,,
,7(CC[N@@+]%10(CC=C)CC9=CCO)C%11=C,%10(CC=C)CC9=C\CO)C%11=C6C=CC=C%11)CC=,,,,,,,,,,,,,,,,
,C=CC=C6%11)CC=C,C,,,,,,,,,,,,,,,,
,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC,,,,,,,,,,,,,,,,,
,,CCC1=C(C=C2C(=C1)C(=O)C3=C([NH]C4=C3C=CC,,,,,,,,,,,,,,,,
36,4)C(C)(C)C5=C(C2=O)C6=CC=C(C=C6[NH]5),,6.35,5.04,7.69,6.48,11.7,10.60,0.003,0.01,0.80,0.70,0.89,0.81,1.07,1.03,-2.52,-2.27
,,(=C4)C#N)C2(C)C)N5CCC(CC5)[NH+]6CCOCC6,,,,,,,,,,,,,,,,
,C#N,,,,,,,,,,,,,,,,,
37,NCCCC(O)([P](O)(O)=O)[P](O)(O)=O,[NH3+]CCCC(O)([P]([O-])([O-])=O)[P]([O-])([O-])=O,0.33,0.56,2.6,2.71,3.1,6.29,0.22,0.31,0.48,-0.25,0.41,0.43,0.49,0.80,-0.66,-0.51
,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C(,,,,,,,,,,,,,,,,,
,,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C,,,,,,,,,,,,,,,,
38,CCC[C@]12C)=CC=C3C[C@@H](O)C[C@H],,,,0.82,1.11,48.6,28.57,,,,,-0.09,0.05,1.69,1.46,,
,,@@]12C)=C\C=C\3C[C@@H](O)C[C@H](O)C3=C,,,,,,,,,,,,,,,,
,(O)C3=C,,,,,,,,,,,,,,,,,
,CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O),CCN1N=NN(CC[NH+]2CCC(CC2)(COC)N(C(=O)CC,,,,,,,,,,,,,,,,
39,,,0.45,0.57,3.9,4.61,1.6,2.28,0.086,0.12,0.35,-0.25,0.59,0.66,0.20,0.36,-1.07,-0.92
,CC)C3=CC=CC=C3)C1=O,)C3=CC=CC=C3)C1=O,,,,,,,,,,,,,,,,
,COC1=CC2=NC(=NC(=C2C=C1OC)N)N(C)C,COC1=C(OC)C=C2C(=NC(=NC2=C1)N(C)CCCNC(=,,,,,,,,,,,,,,,,
40,,,1.5,1.19,5.9,4.34,4.8,4.25,0.14,0.13,0.18,0.08,0.77,0.64,0.68,0.63,-0.85,-0.88
,CCNC(=O)C3CCCO3,O)[C@@H]3CCCO3)N,,,,,,,,,,,,,,,,
41,ClC1=CC=CC(=C1N(CC=C)C2=NCCN2)Cl,ClC1=C(N(CC=C)C2=[NH+]CCN2)C(=CC=C1)Cl,2.72,6.40,12,10.52,3.14,4.45,0.4,0.21,0.43,0.81,1.08,1.02,0.50,0.65,-0.40,-0.68
,COC1=CC2=C([NH]N=N2)C=C1C(=O)NCC3,COC1=CC2=C([NH]N=N2)C=C1C(=O)NC[C@H]3C,,,,,,,,,,,,,,,,
42,,,1.6,2.01,6.6,6.99,2.8,4.47,,,0.20,0.30,0.82,0.84,0.45,0.65,,
,CCCN3CC=C,CC[NH+]3CC=C,,,,,,,,,,,,,,,,
43,O=C1NC=NC2=C1C=N[NH]2,O=C1NC=NC2=C1C=N[NH]2,0.58,0.62,11,8.78,0.8,1.06,0.97,0.81,0.24,-0.21,1.04,0.94,-0.10,0.03,-0.01,-0.09
,FC1=CC=C(C=C1)C(N2CCN(CC2)C3=NC(=N,FC1=CC=C(C=C1)C([NH+]2CCN(CC2)C3=NC(=NC(,,,,,,,,,,,,,,,,
44,,,35.37,28.10,0.97,1.99,1344,176.91,0.01,0.01,1.55,1.45,-0.01,0.30,3.13,2.25,-2.00,-1.88
,C(=N3)NCC=C)NCC=C)C4=CC=C(F)C=C4,=N3)NCC=C)NCC=C)C4=CC=C(F)C=C4,,,,,,,,,,,,,,,,
,CCC[S@](=O)CCCN(CC)C[C@@H](O)COC1,CCC[S@](=O)CCC[NH+](CC)C[C@@H](O)COC1=C,,,,,,,,,,,,,,,,
45,,,1.8,1.87,11.3,9.51,2.4,2.76,,,0.26,0.27,1.05,0.98,0.38,0.44,,
,=CC=C(C=C1)C#N,C=C(C=C1)C#N,,,,,,,,,,,,,,,,
,CNC(=O)C(N1CCC2=C(C=C(OC)C(=C2)OC)[,CNC(=O)[C@@H]([NH+]1CCC2=C(C=C(OC)C(=C2),,,,,,,,,,,,,,,,
46,C@@H]1CCC3=CC=C(C=C3)C(F)(F)F)C4=C,OC)[C@@H]1CCC3=CC=C(C=C3)C(F)(F)F)C4=CC=,9.75,7.75,10.2,8.38,34.3,23.98,,,0.99,0.89,1.01,0.92,1.54,1.38,,
,C=CC=C4,CC=C4,,,,,,,,,,,,,,,,
,CN(C)CCC1=C[NH]C2=CC=C(C[S](=O)(=O),C[NH+](C)CCC1=C[NH]C2=C1C=C(C[S](=O)(=O)N,,,,,,,,,,,,,,,,
47,,,2.2,1.63,8.9,9.52,3.4,3.63,0.6,0.51,0.34,0.21,0.95,0.98,0.53,0.56,-0.22,-0.29
,N3CCCC3)C=C12,3CCCC3)C=C2,,,,,,,,,,,,,,,,
,C[N]1C2=C(C(=O)N(CC2)CC3=C(C)[NH]C=N,C[N]1C2=C(C(=O)N(CC2)CC3=C(C)[NH]C=N3)C4=,,,,,,,,,,,,,,,,
48,,,1.1,1.38,8.7,7.79,1.6,2.10,0.18,0.16,0.04,0.14,0.94,0.89,0.20,0.32,-0.74,-0.79
,3)C4=CC=CC=C14,C1C=CC=C4,,,,,,,,,,,,,,,,
,CN[S](=O)(=O)C1=CC(=C(OC)C=C1N)C(=O),CN[S](=O)(=O)C1=C(N)C=C(OC)C(=C1)C(=O)NC[C,,,,,,,,,,,,,,,,
49,,,2.3,1.83,5.47,4.63,4.8,4.47,,,0.36,0.26,0.74,0.67,0.68,0.65,,
,NC[C@@H]2CCCN2CC=C,@@H]2CCC[NH+]2CC=C,,,,,,,,,,,,,,,,
50,,CC1=NN=C2CN=C(C3=CC=CC=C3)C4=CC(= CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C(C=CC(=C,0.8,1.12,0.74,1.02,12,8.12,0.29,0.15,0.10,0.05,-0.13,0.01,1.08,0.91,-0.54,-0.83
,CC=C4[N]12)Cl,4)Cl)[N]12,,,,,,,,,,,,,,,,
51,CC(C)NCC(O)COC1=CC=CC=C1CC=C,CC(C)[NH2+]C[C@H](O)COC1=C(CC=C)C=CC=C1,3.2,1.68,15,12.25,2.5,2.81,0.18,0.32,0.51,0.23,1.18,1.09,0.40,0.45,-0.74,-0.50
,CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(,CCCCC[C@H](O)\C=C/[C@H]1[C@H](O)CC(=O)[C,,,,,,,,,,,,,,,,
52,,,2.4,1.59,45.4,21.17,1.9,1.83,,,0.38,0.20,1.66,1.33,0.28,0.26,,
,=O)[C@@H]1CCCCCCC(O)=O,@@H]1CCCCCCC([O-])=O,,,,,,,,,,,,,,,,
,C[C@H]1CN(CC[C@@]1(C)C2=CC=CC(=C2),,,,,,,,,,,,,,,,,
,,C[C@H]1C[NH+](CC[C@@]1(C)C2=CC(=CC=C2)O),,,,,,,,,,,,,,,,
53,O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(O)=,,0.43,0.54,5.84,4.59,5.3,4.92,0.2,0.14,0.37,-0.27,0.77,0.66,0.72,0.69,-0.70,-0.84
,,C[C@H](CC3=CC=CC=C3)C(=O)NCC([O-])=O,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,,
54,N[C]12CC3[CH2][CH](C[CH]([CH2]3)C1)C2,[NH3+][C]12C[CH]3C[CH]([CH2]C([CH2]3)C1)C2,6.6,5.24,4.8,6.01,16,11.48,0.33,0.40,0.82,0.72,0.68,0.78,1.20,1.06,-0.48,-0.40
,CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3),CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O),,,,,,,,,,,,,,,,
55,,,0.37,0.42,6.3,4.33,1.1,1.39,0.9,0.60,0.43,-0.38,0.80,0.64,0.04,0.14,-0.05,-0.23
,C(=O)N2[C@H]1C(O)=O,N2[C@H]1C([O-])=O,,,,,,,,,,,,,,,,
56,COC1=CC(=CN=[N+]1C2=CC=CC=C2)N,COC1=[N+](N=CC(=C1)N)C2=CC=CC=C2,4,3.18,5.1,8.19,14.1,8.54,,,0.60,0.50,0.71,0.91,1.15,0.93,,
,CNN1C=C(C(O)=O)C(=O)C2=C1C=C(N3CCN,CNN1C=C(C([O-,,,,,,,,,,,,,,,,
57,,,,,4.56,3.52,4.66,6.97,,,,,0.66,0.55,0.67,0.84,,
,(C)CC3)C(=C2)F,])=O)C(=O)C2=C1C=C(N3CC[NH+](C)CC3)C(=C2)F,,,,,,,,,,,,,,,,
58,NCCCNCCS[P](O)(O)=O,[NH3+]CCC[NH2+]CCS[P]([O-])([O-])=O,0.09,0.11,30.65,11.78,0.15,0.54,,,1.05,-0.95,1.49,1.07,-0.82,-0.27,,
,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[,,,,,,,,,,,,,,,,,
,,[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH,,,,,,,,,,,,,,,,
,C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[,,,,,,,,,,,,,,,,,
,,3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](,,,,,,,,,,,,,,,,
59,C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@,,0.16,0.20,1.1,1.21,2.4,3.18,0.88,0.80,0.80,-0.70,0.04,0.08,0.38,0.50,-0.06,-0.10
,,O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O[C@H],,,,,,,,,,,,,,,,
,H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H,,,,,,,,,,,,,,,,,
,,3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O,,,,,,,,,,,,,,,,
,]3O,,,,,,,,,,,,,,,,,
,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=,CC[C@]1(O)C(=O)OCC2=C1C=C3N(CC4=C3N=C5C,,,,,,,,,,,,,,,,
60,,,2.2,1.18,6.5,5.64,7,5.27,0.003,0.01,0.34,0.07,0.81,0.75,0.85,0.72,-2.52,-1.84
,CC5=C(N)C=CC=C5N=C34)C2=O,=CC=C(N)C5=C4)C2=O,,,,,,,,,,,,,,,,
61,NCCCCCC(O)=O,[NH3+]CCCCCC([O-])=O,0.39,0.34,2.5,2.52,4.9,3.62,0.92,0.83,0.41,-0.47,0.40,0.40,0.69,0.56,-0.04,-0.08
62,NCC(=O)CCC(O)=O,[NH3+]CC(=O)CCC([O-])=O,0.12,0.15,1.88,2.20,0.83,1.28,0.88,0.78,0.92,-0.82,0.27,0.34,-0.08,0.11,-0.06,-0.11
63,NC1=CC=C(O)C(=C1)C(O)=O,NC1=CC(=C(O)C=C1)C([O-])=O,0.33,0.26,9.3,5.79,0.61,1.08,0.39,0.42,0.48,-0.58,0.97,0.76,-0.21,0.03,-0.41,-0.38
,CCCCC1=C(C(=O)C2=CC(=C(OCCN(CC)CC),CCCCC1=C(C(=O)C2=CC(=C(OCC[NH+](CC)CC)C(,,,,,,,,,,,,,,,,
64,,,60,21.14,1.9,2.67,820,146.66,0.0002,0.02,1.78,1.33,0.28,0.43,2.91,2.17,-3.70,-1.71
,C(=C2)I)I)C3=CC=CC=C3O1,=C2)I)I)C3=C(O1)C=CC=C3,,,,,,,,,,,,,,,,
,CN(C)CCCO[C@H]1[C@H](O[C@@H]2OC(,C[NH+](C)CCCO[C@H]1[C@H](O[C@@H]2OC(C)(,,,,,,,,,,,,,,,,
65,,,1.04,0.83,3.48,3.65,4.07,4.09,0.97,0.85,0.02,-0.08,0.54,0.56,0.61,0.61,-0.01,-0.07
,C)(C)O[C@H]12)[C@H](O)CO,C)O[C@H]12)[C@H](O)CO,,,,,,,,,,,,,,,,
,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC,C[NH+](C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC,,,,,,,,,,,,,,,,
